Sample        Spectrum      Background    Delta
 0            -334.9965      46           -382 
 1            -190.0044      46           -237 
 2            -240.4985      46           -288 
 3            -288.9985      46           -336 
 4            -287.0001      46           -334 
 5            -250.0011      46           -297 
 6            -295.4986      46           -343 
 7            -254.0013      46           -301 
 8            -266.9996      46           -314 
 9            -280.9996      46           -328 
 10           -281           46           -328 
 11           -178.0031      46           -225 
 12           -336.9951      46           -384 
 13           -211.5038      46           -259 
 14           -203.0003      46           -250 
 15           -238.9989      46           -286 
 16           -241.9999      46           -289 
 17           -314.4978      46           -362 
 18           -230.0026      46           -277 
 19           -319.9973      46           -367 
 20           -237.5025      46           -285 
 21           -292.9983      46           -340 
 22           -245.0015      46           -292 
 23           -250.9998      46           -298 
 24           -277.4992      46           -325 
 25           -283.4998      46           -331 
 26           -270.0004      46           -317 
 27           -261.0003      46           -308 
 28           -266.4998      46           -314 
 29           -287.9993      46           -335 
 30           -290.9999      46           -338 
 31           -226.002       46           -273 
 32           -297.4978      46           -345 
 33           -253.0014      46           -300 
 34           -230.5007      46           -278 
 35           -272.9987      46           -320 
 36           -292.9994      46           -340 
 37           -294.5         46           -342 
 38           -207.0027      46           -254 
 39           -288.9975      46           -336 
 40           -287.5001      46           -335 
 41           -195.0028      46           -242 
 42           -241.4986      46           -289 
 43           -249.9997      46           -297 
 44           -270.9994      46           -318 
 45           -208.5019      46           -256 
 46           -248.4988      46           -296 
 47           -190.0018      46           -237 
 48           -264.9977      46           -312 
 49           -211.0016      46           -258 
 50           -275.498       46           -323 
 51           -283.9998      46           -331 
 52           -249.5011      46           -297 
 53           -203.0014      46           -250 
 54           -228.9992      46           -276 
 55           -176.0016      46           -223 
 56           -173.0001      46           -220 
 57           -254.9975      46           -302 
 58           -194.0019      46           -241 
 59           -228.9989      46           -276 
 60           -244.9995      46           -292 
 61           -256.9996      46           -304 
 62           -138.0036      46           -185 
 63           -255.4964      46           -303 
 64           -211.0014      46           -258 
 65           -304.9971      46           -352 
 66           -278.0008      46           -325 
 67           -305.9991      46           -353 
 68           -266.0012      46           -313 
 69           -318.9984      46           -366 
 70           -167.0046      46           -214 
 71           -210.4987      46           -258 
 72           -246.9989      46           -294 
 73           -225.5007      46           -273 
 74           -299.4977      46           -347 
 75           -251.0015      46           -298 
 76           -222.0009      46           -269 
 77           -267.9986      46           -315 
 78           -171.003       46           -218 
 79           -166.0002      46           -213 
 80           -210.4986      46           -258 
 81           -268.4982      46           -316 
 82           -192.5023      46           -240 
 83           -245.9984      46           -293 
 84           -193.0016      46           -240 
 85           -272.9976      46           -320 
 86           -184.0027      46           -231 
 87           -253.4979      46           -301 
 88           -279.9992      46           -327 
 89           -184.0029      46           -231 
 90           -242.4982      46           -290 
 91           -165.0024      46           -212 
 92           -143.5007      46           -191 
 93           -145           46           -192 
 94           -222.9976      46           -270 
 95           -91.50401      46           -139 
 96           -238.9955      46           -286 
 97           -108.004       46           -155 
 98           -18.00275      46           -65 
 99           -90.99777      46           -138 
 100          -62.00089      46           -109 
 101           89.99536      46            43 
 102           72.50053      46            25 
 103           0.5021973     46           -47 
 104           57.49826      46            10 
 105           133.9977      46            87 
 106           145.4996      46            98 
 107           174.4991      46            127 
 108           236.9981      46            190 
 109           284.4986      46            237 
 110           386.9969      46            340 
 111           467.9975      46            421 
 112           433.0011      46            386 
 113           548.9965      46            502 
 114           508.0013      46            461 
 115           488.0006      46            441 
 116           588.9969      46            542 
 117           586.5001      46            539 
 118           708.9962      46            662 
 119           666.0013      46            619 
 120           920.4923      46            873 
 121           804.5035      46            757 
 122           764.0012      46            717 
 123           1069.991      46            1023 
 124           925.0045      46            878 
 125           1204.991      46            1158 
 126           1197          46            1150 
 127           1414.993      46            1368 
 128           1455.499      46            1408 
 129           1522.498      46            1475 
 130           1628.997      46            1582 
 131           1743.996      46            1697 
 132           1826.997      46            1780 
 133           1886.998      46            1840 
 134           1834.502      46            1787 
 135           1941.497      46            1894 
 136           2156.493      46            2109 
 137           2124.001      46            2077 
 138           2153.499      46            2106 
 139           2171.499      46            2124 
 140           2342.995      46            2296 
 141           2124.507      46            2077 
 142           2288.995      46            2242 
 143           2245.001      46            2198 
 144           2559.99       46            2513 
 145           2767.994      46            2721 
 146           2715.501      46            2668 
 147           2971.992      46            2925 
 148           2881.003      46            2834 
 149           3062.994      46            3016 
 150           3101.999      46            3055 
 151           3168.998      46            3122 
 152           3291.496      46            3244 
 153           3690.488      46            3643 
 154           4059.489      46            4012 
 155           4618.983      46            4572 
 156           4981.489      46            4934 
 157           5265.492      46            5218 
 158           5768.984      46            5722 
 159           5654.003      46            5607 
 160           5756.997      46            5710 
 161           5886.496      46            5839 
 162           5854          46            5807 
 163           5897.999      46            5851 
 164           6159.492      46            6112 
 165           6307.995      46            6261 
 166           6472.995      46            6426 
 167           6541.998      46            6495 
 168           6480.502      46            6433 
 169           6632.496      46            6585 
 170           6689.998      46            6643 
 171           6668.5        46            6621 
 172           6598.502      46            6551 
 173           6727.996      46            6681 
 174           6831.498      46            6784 
 175           6695.003      46            6648 
 176           6531.005      46            6484 
 177           6555.999      46            6509 
 178           6457.503      46            6410 
 179           6521.998      46            6475 
 180           6570.999      46            6524 
 181           6702.495      46            6655 
 182           6763.998      46            6717 
 183           7171.487      46            7124 
 184           7342.995      46            7296 
 185           7609.992      46            7563 
 186           7800.993      46            7754 
 187           7838.999      46            7792 
 188           8155.99       46            8109 
 189           8066.502      46            8019 
 190           8455.487      46            8408 
 191           8645.993      46            8599 
 192           8648          46            8601 
 193           8936.992      46            8890 
 194           9118.995      46            9072 
 195           9255.997      46            9209 
 196           9142.504      46            9095 
 197           9431.992      46            9385 
 198           9321.004      46            9274 
 199           9357.501      46            9310 
 200           9290.001      46            9243 
 201           9396.497      46            9349 
 202           9727.988      46            9681 
 203           9519.007      46            9472 
 204           9771.993      46            9725 
 205           9661.003      46            9614 
 206           9380.508      46            9333 
 207           9685.991      46            9639 
 208           9560.004      46            9513 
 209           9557          46            9510 
 210           9744.995      46            9698 
 211           9682.501      46            9635 
 212           9558.504      46            9511 
 213           9714.995      46            9668 
 214           9985.992      46            9939 
 215           9899.003      46            9852 
 216           9995.496      46            9948 
 217           10085         46            10038 
 218           9949.004      46            9902 
 219           10044.5       46            9997 
 220           9964.003      46            9917 
 221           9747.008      46            9700 
 222           9827.997      46            9781 
 223           9564.008      46            9517 
 224           9500.503      46            9453 
 225           9473.002      46            9426 
 226           9479          46            9432 
 227           9778.491      46            9731 
 228           10047.5       46            10000 
 229           9923          46            9876 
 230           9900.5        46            9853 
 231           9940          46            9893 
 232           9968.5        46            9921 
 233           9989          46            9942 
 234           9917.5        46            9870 
 235           9794.5        46            9747 
 236           9764.5        46            9717 
 237           9828          46            9781 
 238           9848          46            9801 
 239           9717          46            9670 
 240           10026         46            9979 
 241           9707.5        46            9660 
 242           9742          46            9695 
 243           9578          46            9531 
 244           9526          46            9479 
 245           9496          46            9449 
 246           9409          46            9362 
 247           9185.5        46            9138 
 248           9472          46            9425 
