Sample        Spectrum      Background    Delta
 0            -211.0043      46           -258 
 1            -288.4977      46           -336 
 2            -343.9983      46           -391 
 3            -258.0026      46           -305 
 4            -308.9984      46           -356 
 5            -321.9996      46           -369 
 6            -291.0009      46           -338 
 7            -322.999       46           -370 
 8            -271.0016      46           -318 
 9            -286.9995      46           -334 
 10           -360.9977      46           -408 
 11           -314.0014      46           -361 
 12           -249.002       46           -296 
 13           -274.9992      46           -322 
 14           -302.9991      46           -350 
 15           -234.5021      46           -282 
 16           -219.5005      46           -267 
 17           -204.5005      46           -252 
 18           -298.9971      46           -346 
 19           -214.5026      46           -262 
 20           -265.4984      46           -313 
 21           -230.0011      46           -277 
 22           -240.9997      46           -288 
 23           -369.9961      46           -417 
 24           -278.5028      46           -326 
 25           -231.0014      46           -278 
 26           -300.9979      46           -348 
 27           -275.5008      46           -323 
 28           -276.5         46           -324 
 29           -230.0014      46           -277 
 30           -277.9985      46           -325 
 31           -295.9995      46           -343 
 32           -262.001       46           -309 
 33           -221.5012      46           -269 
 34           -285.498       46           -333 
 35           -307.9993      46           -355 
 36           -281.0008      46           -328 
 37           -306.4992      46           -354 
 38           -302.0002      46           -349 
 39           -334.499       46           -382 
 40           -299.501       46           -347 
 41           -206.5028      46           -254 
 42           -254.9985      46           -302 
 43           -293.4988      46           -341 
 44           -305.9996      46           -353 
 45           -328.4993      46           -376 
 46           -299.0009      46           -346 
 47           -285.0004      46           -332 
 48           -340.9983      46           -388 
 49           -226.0035      46           -273 
 50           -271.9986      46           -319 
 51           -262.5003      46           -310 
 52           -219.0013      46           -266 
 53           -193.0008      46           -240 
 54           -239.4986      46           -287 
 55           -306.998       46           -354 
 56           -217.5027      46           -265 
 57           -298.4975      46           -346 
 58           -296.0001      46           -343 
 59           -245.0016      46           -292 
 60           -306.4981      46           -354 
 61           -314.9998      46           -362 
 62           -254.0019      46           -301 
 63           -296.4987      46           -344 
 64           -244.0016      46           -291 
 65           -245.5         46           -293 
 66           -237.0003      46           -284 
 67           -214.0007      46           -261 
 68           -261.4985      46           -309 
 69           -232.5009      46           -280 
 70           -230.0001      46           -277 
 71           -229           46           -276 
 72           -289.4982      46           -337 
 73           -208.0025      46           -255 
 74           -275.9979      46           -323 
 75           -329.9984      46           -377 
 76           -290.5012      46           -338 
 77           -198.0028      46           -245 
 78           -262.498       46           -310 
 79           -274.4996      46           -322 
 80           -232.5013      46           -280 
 81           -268.9989      46           -316 
 82           -257.0004      46           -304 
 83           -314.4982      46           -362 
 84           -233.0025      46           -280 
 85           -180.5016      46           -228 
 86           -289.9967      46           -337 
 87           -332.9987      46           -380 
 88           -261.0022      46           -308 
 89           -306.4986      46           -354 
 90           -260.0014      46           -307 
 91           -227.001       46           -274 
 92           -233.9998      46           -281 
 93           -149.0026      46           -196 
 94           -150.9999      46           -198 
 95           -163.4996      46           -211 
 96           -165           46           -212 
 97           -94.00217      46           -141 
 98           -133.9988      46           -181 
 99           -133           46           -180 
 100          -55.00238      46           -102 
 101           22.99762      46           -24 
 102           67.49864      46            20 
 103          -15.49747      46           -63 
 104          -26.99965      46           -74 
 105           19.49858      46           -28 
 106           56.99886      46            10 
 107          -6.498062      46           -54 
 108           237.9925      46            191 
 109           173.502       46            126 
 110           270.997       46            224 
 111           185.5026      46            138 
 112           330.9956      46            284 
 113           255.0023      46            208 
 114           276.9993      46            230 
