Sample        Spectrum      Background    Delta
 0            -334.9965      51           -387 
 1            -190.0044      51           -242 
 2            -240.4985      51           -293 
 3            -288.9985      51           -341 
 4            -287.0001      51           -339 
 5            -250.0011      51           -302 
 6            -295.4986      51           -348 
 7            -254.0013      51           -306 
 8            -266.9996      51           -319 
 9            -280.9996      51           -333 
 10           -281           51           -333 
 11           -178.0031      51           -230 
 12           -336.9951      51           -389 
 13           -211.5038      51           -264 
 14           -203.0003      51           -255 
 15           -238.9989      51           -291 
 16           -241.9999      51           -294 
 17           -314.4978      51           -367 
 18           -230.0026      51           -282 
 19           -319.9973      51           -372 
 20           -237.5025      51           -290 
 21           -292.9983      51           -345 
 22           -245.0015      51           -297 
 23           -250.9998      51           -303 
 24           -277.4992      51           -330 
 25           -283.4998      51           -336 
 26           -270.0004      51           -322 
 27           -261.0003      51           -313 
 28           -266.4998      51           -319 
 29           -287.9993      51           -340 
 30           -290.9999      51           -343 
 31           -226.002       51           -278 
 32           -297.4978      51           -350 
 33           -253.0014      51           -305 
 34           -230.5007      51           -283 
 35           -272.9987      51           -325 
 36           -292.9994      51           -345 
 37           -294.5         51           -347 
 38           -207.0027      51           -259 
 39           -288.9975      51           -341 
 40           -287.5001      51           -340 
 41           -195.0028      51           -247 
 42           -241.4986      51           -294 
 43           -249.9997      51           -302 
 44           -270.9994      51           -323 
 45           -208.5019      51           -261 
 46           -248.4988      51           -301 
 47           -190.0018      51           -242 
 48           -264.9977      51           -317 
 49           -211.0016      51           -263 
 50           -275.498       51           -328 
 51           -283.9998      51           -336 
 52           -249.5011      51           -302 
 53           -203.0014      51           -255 
 54           -228.9992      51           -281 
 55           -176.0016      51           -228 
 56           -173.0001      51           -225 
 57           -254.9975      51           -307 
 58           -194.0019      51           -246 
 59           -228.9989      51           -281 
 60           -244.9995      51           -297 
 61           -256.9996      51           -309 
 62           -138.0036      51           -190 
 63           -255.4964      51           -308 
 64           -211.0014      51           -263 
 65           -304.9971      51           -357 
 66           -278.0008      51           -330 
 67           -305.9991      51           -358 
 68           -266.0012      51           -318 
 69           -318.9984      51           -371 
 70           -167.0046      51           -219 
 71           -210.4987      51           -263 
 72           -246.9989      51           -299 
 73           -225.5007      51           -278 
 74           -299.4977      51           -352 
 75           -251.0015      51           -303 
 76           -222.0009      51           -274 
 77           -267.9986      51           -320 
 78           -171.003       51           -223 
 79           -166.0002      51           -218 
 80           -210.4986      51           -263 
 81           -268.4982      51           -321 
 82           -192.5023      51           -245 
 83           -245.9984      51           -298 
 84           -193.0016      51           -245 
 85           -272.9976      51           -325 
 86           -184.0027      51           -236 
 87           -253.4979      51           -306 
 88           -279.9992      51           -332 
 89           -184.0029      51           -236 
 90           -242.4982      51           -295 
 91           -165.0024      51           -217 
 92           -143.5007      51           -196 
 93           -145           51           -197 
 94           -222.9976      51           -275 
 95           -91.50401      51           -144 
 96           -238.9955      51           -291 
 97           -108.004       51           -160 
 98           -18.00275      51           -70 
 99           -90.99777      51           -143 
 100          -62.00089      51           -114 
 101           89.99536      51            38 
 102           72.50053      51            20 
 103           0.5021973     51           -52 
 104           57.49826      51            5 
 105           133.9977      51            82 
 106           145.4996      51            93 
 107           174.4991      51            122 
 108           236.9981      51            185 
 109           284.4986      51            232 
 110           386.9969      51            335 
 111           467.9975      51            416 
 112           433.0011      51            381 
 113           548.9965      51            497 
 114           508.0013      51            456 
 115           488.0006      51            436 
 116           588.9969      51            537 
 117           586.5001      51            534 
 118           708.9962      51            657 
 119           666.0013      51            614 
 120           920.4923      51            868 
 121           804.5035      51            752 
 122           764.0012      51            712 
 123           1069.991      51            1018 
 124           925.0045      51            873 
 125           1204.991      51            1153 
 126           1197          51            1145 
 127           1414.993      51            1363 
 128           1455.499      51            1403 
 129           1522.498      51            1470 
 130           1628.997      51            1577 
 131           1743.996      51            1692 
 132           1826.997      51            1775 
 133           1886.998      51            1835 
 134           1834.502      51            1782 
 135           1941.497      51            1889 
 136           2156.493      51            2104 
 137           2124.001      51            2072 
 138           2153.499      51            2101 
 139           2171.499      51            2119 
 140           2342.995      51            2291 
 141           2124.507      51            2072 
 142           2288.995      51            2237 
 143           2245.001      51            2193 
 144           2559.99       51            2508 
 145           2767.994      51            2716 
 146           2715.501      51            2663 
 147           2971.992      51            2920 
 148           2881.003      51            2829 
 149           3062.994      51            3011 
 150           3101.999      51            3050 
 151           3168.998      51            3117 
 152           3291.496      51            3239 
 153           3690.488      51            3638 
 154           4059.489      51            4007 
 155           4618.983      51            4567 
 156           4981.489      51            4929 
 157           5265.492      51            5213 
 158           5768.984      51            5717 
 159           5654.003      51            5602 
 160           5756.997      51            5705 
 161           5886.496      51            5834 
 162           5854          51            5802 
 163           5897.999      51            5846 
 164           6159.492      51            6107 
 165           6307.995      51            6256 
 166           6472.995      51            6421 
 167           6541.998      51            6490 
 168           6480.502      51            6428 
 169           6632.496      51            6580 
 170           6689.998      51            6638 
 171           6668.5        51            6616 
 172           6598.502      51            6546 
 173           6727.996      51            6676 
 174           6831.498      51            6779 
 175           6695.003      51            6643 
 176           6531.005      51            6479 
 177           6555.999      51            6504 
 178           6457.503      51            6405 
 179           6521.998      51            6470 
 180           6570.999      51            6519 
 181           6702.495      51            6650 
 182           6763.998      51            6712 
 183           7171.487      51            7119 
 184           7342.995      51            7291 
 185           7609.992      51            7558 
 186           7800.993      51            7749 
 187           7838.999      51            7787 
 188           8155.99       51            8104 
 189           8066.502      51            8014 
 190           8455.487      51            8403 
 191           8645.993      51            8594 
 192           8648          51            8596 
 193           8936.992      51            8885 
 194           9118.995      51            9067 
 195           9255.997      51            9204 
 196           9142.504      51            9090 
 197           9431.992      51            9380 
 198           9321.004      51            9269 
 199           9357.501      51            9305 
 200           9290.001      51            9238 
 201           9396.497      51            9344 
 202           9727.988      51            9676 
 203           9519.007      51            9467 
 204           9771.993      51            9720 
 205           9661.003      51            9609 
 206           9380.508      51            9328 
 207           9685.991      51            9634 
 208           9560.004      51            9508 
 209           9557          51            9505 
 210           9744.995      51            9693 
 211           9682.501      51            9630 
 212           9558.504      51            9506 
 213           9714.995      51            9663 
 214           9985.992      51            9934 
 215           9899.003      51            9847 
 216           9995.496      51            9943 
 217           10085         51            10033 
 218           9949.004      51            9897 
 219           10044.5       51            9992 
 220           9964.003      51            9912 
 221           9747.008      51            9695 
 222           9827.997      51            9776 
 223           9564.008      51            9512 
 224           9500.503      51            9448 
 225           9473.002      51            9421 
 226           9479          51            9427 
 227           9778.491      51            9726 
 228           10047.5       51            9995 
 229           9923          51            9871 
 230           9900.5        51            9848 
 231           9940          51            9888 
 232           9968.5        51            9916 
 233           9989          51            9937 
 234           9917.5        51            9865 
 235           9794.5        51            9742 
 236           9764.5        51            9712 
 237           9828          51            9776 
 238           9848          51            9796 
 239           9717          51            9665 
 240           10026         51            9974 
 241           9707.5        51            9655 
 242           9742          51            9690 
 243           9578          51            9526 
 244           9526          51            9474 
 245           9496          51            9444 
 246           9409          51            9357 
 247           9185.5        51            9133 
 248           9472          51            9420 
 249           9290          51            9238 
 250           9543          51            9491 
 251           9693.5        51            9641 
 252           9825.5        51            9773 
 253           9820          51            9768 
 254           9778          51            9726 
 255           9818          51            9766 
 256           9691.5        51            9639 
 257           9868.5        51            9816 
 258           10096.5       51            10044 
 259           9965          51            9913 
 260           10050         51            9998 
 261           10074         51            10022 
 262           10024         51            9972 
 263           9914          51            9862 
 264           9937          51            9885 
 265           9719          51            9667 
 266           9762          51            9710 
 267           9861          51            9809 
 268           9800          51            9748 
 269           9833.5        51            9781 
 270           9786.5        51            9734 
 271           9955.5        51            9903 
 272           10134         51            10082 
 273           10018         51            9966 
 274           10682         51            10630 
 275           10713         51            10661 
 276           10908.5       51            10856 
 277           10625         51            10573 
 278           10720.5       51            10668 
