Sample	Spectrum
0	473.9994
1	483.4997
2	478.0002
3	483.4998
4	500.9995
5	460.0013
6	510.9984
7	408.5031
8	412.9999
9	524.4966
10	438.0026
11	370.0021
12	383.4996
13	391.9997
14	462.4978
15	385.0023
16	438.9984
17	389.5015
18	478.9973
19	448.5009
20	462.9996
21	469.9998
22	411.0018
23	465.9983
24	412.5016
25	434.9993
26	427.0002
27	404.5007
28	524.4963
29	330.5059
30	425.9971
31	405.5006
32	402.0001
33	419.9995
34	345.0023
35	443.997
36	430.0004
37	364.002
38	453.4973
39	379.5023
40	452.9978
41	368.0026
42	368
43	380.9996
44	383.9999
45	412.4991
46	416.9999
47	388.0009
48	425.4989
49	436.4997
50	329.5033
51	331
52	443.9966
53	452.9997
54	304.0045
55	408.9968
56	328.5024
57	389.4981
58	353.0011
59	394.4987
60	438.9987
61	402.0011
62	385.5005
63	445.9981
64	451.9998
65	448.0001
66	398.5015
67	420.9993
68	385.5011
69	377.5002
70	501.4962
71	365.0042
72	358.5002
73	365.4998
74	351.0004
75	475.4962
76	383.0028
77	434.9984
78	474.9988
79	441.501
80	534.9972
81	474.5018
82	469.5002
83	449.0006
84	381.0021
85	411.999
86	358.0016
87	408.9984
88	401.0002
89	379.0007
90	364.0005
91	340.0007
92	391.4984
93	424.499
94	373.0016
95	415.9987
96	328.0027
97	444.9964
98	445
99	473.9991
100	365.5033
101	368.4999
102	352.5005
103	588.9928
104	351.0073
105	517.9949
106	485.501
107	389.5029
108	401.9996
109	388.0004
110	422.9989
111	469.9986
112	477.9998
113	382.0029
114	341.0013
115	449.4967
116	365.0026
117	392.4991
118	542.4954
119	546.9999
120	569.9993
121	552.0006
122	425.0039
123	476.9984
124	491.4996
125	534.9987
126	638.4969
127	658.4994
128	577.5024
129	643.9979
130	601.0013
131	564.0011
132	547.0005
133	493.0016
134	506.9996
135	536.9991
136	894.489
137	1017.996
138	1018
139	929.5027
140	2135.463
141	24423.82
142	58417.97
143	61996.89
144	60127.55
145	32564.84
146	3207.396
147	1419.054
148	2311.973
149	2648.49
150	2482.505
151	2027.014
152	1912.504
153	3955.438
154	4389.487
155	4264.004
156	3059.537
157	1123.059
158	816.0095
159	857.4988
160	1013.995
161	1265.492
162	1442.495
163	1489.498
164	1588.497
165	1410.005
166	1432.999
167	1523.997
168	1411.504
169	1460.499
170	1163.509
171	841.0098
172	1029.494
173	1138.497
174	1253.996
175	1247
176	1004.507
177	1056.498
178	1131.998
179	1020.503
180	1079.498
181	1569.985
182	2406.474
183	2479.998
184	2678.993
185	2213.014
186	1782.513
187	6910.843
188	38384.04
189	50302.14
190	50754.98
191	43875.21
192	10955.5
193	2113.27
194	1255.526
195	1308.498
196	1202.003
197	1244.999
198	1220.001
199	1257.999
200	1240
201	1304.998
202	1590.991
203	1693.997
204	1676
205	1707.499
206	2811.467
207	6756.38
208	7817.968
209	7724.002
210	5986.052
211	1759.129
212	1255.016
213	1172.003
214	1180.5
215	1127.002
216	1148
217	1156.5
218	1227.998
219	1175.001
220	1254.498
221	1347.997
222	3613.931
223	13396.7
224	15638.93
225	15877.49
226	12509.1
227	2957
228	1462.5
229	6737.5
230	42435.5
231	56328
232	57216
233	49865
234	12686
235	3162
236	2140
237	1438.5
238	1421.5
239	1465
240	1282
241	1455
242	1382.5
243	1430
244	1379
245	1555.5
246	1390
247	1458
248	1506.5
249	1476
250	1495.5
251	1537
252	1506.5
253	1505
254	1605.5
255	1605
256	1658.5
257	1571
258	1665.5
259	1703
260	1746.5
261	1672.5
262	1780
263	1810
264	1821
265	1760
266	1884
267	1898.5
268	1978.5
269	2084.5
270	2118
271	2056
272	2122.5
273	2153
274	2176
275	2214.5
276	2403.5
277	2255.5
278	2347
279	2497.5
280	2392.5
281	2442
282	2442
283	2629.5
284	2978
285	3143
286	3250
287	3136
288	3048
289	3192
290	3194.5
291	3309.5
292	3296
293	6724
294	110709
295	696706.5
296	853172
297	853299
298	688358
299	113491.5
300	8963.5
301	4569.5
302	4322.5
303	4081
304	3908
305	3681
306	3585.5
307	3586.5
308	3723.5
309	3403.5
310	3675.5
311	3453.5
312	3545
313	3469.5
314	3509
315	3585
316	3603
317	3556
318	3526
319	3522
320	3565.5
321	3664
322	3575.5
323	3771
324	3649
325	3820
326	3652.5
327	3836
328	3919
329	4036
330	3952
331	3859
332	3964.5
333	4149.5
334	4267.5
335	4490
336	4556
337	4599
338	4507
339	4336.5
340	4470
341	4504.5
342	4466
343	4535
344	4543
345	4646.5
346	4570
347	4749
348	4741
349	4881
350	4904
351	5057
352	5416.5
353	8236.5
354	90355
355	258919
356	270465.5
357	265381.5
358	154112
359	15791
360	6415
361	6023
362	5940
363	6045
364	5692
365	5875
366	6041
367	5877.5
368	5965
369	6275
370	6419.5
371	6470
372	6576
373	6462
374	6676.5
375	10636.5
376	29283
377	32188
378	31868
379	25613.5
380	8951
381	7709.5
382	17398.5
383	158743
384	237773
385	240386
386	223128
387	64813
388	10314
389	9602
390	10223
391	10147
392	10087
393	8909
394	8424
395	8649
396	8535
397	8771.5
398	12965
399	36033
400	44783
401	44733.5
402	38493.5
403	15308
404	9983
405	10114
406	16968.5
407	35358.5
408	36505
409	36352
410	26870
411	11454.5
412	10587
413	10667
414	11589
415	23238
416	55880
417	69094
418	68670
419	52762.5
420	21127
421	13040
422	15199
423	16082.5
424	22152.5
425	105871
426	142960
427	142626
428	132574.5
429	38164.5
430	13437
431	23329
432	55004
433	57340
434	57232
435	41386
436	14676
437	12769
438	12906.5
439	12848
440	12816.5
441	13163.5
442	13107.5
443	12995.5
444	13035
445	13117
446	13371.5
447	14977.5
448	39398.5
449	51431
450	51486
451	49736.5
452	32604
453	60955
454	68993.5
455	67763
456	51646.5
457	18196
458	14444
459	30492.5
460	106288
461	163818.5
462	165876
463	143981
464	58963
465	15916.5
466	13656.5
467	13316.5
468	13669.5
469	13687
470	14688.5
471	31437
472	47933
473	48435.5
474	47683
475	25687
476	14322
477	14178.5
478	13596
479	13784
480	14088.5
481	18195
482	48166
483	96070
484	114730.5
485	106835
486	76198
487	23836.5
488	14228.5
489	14664.5
490	26318
491	33535.5
492	33857
493	32327
494	17847
495	14016
496	13759
497	13583
498	13821.5
499	13873
500	14123
501	16267
502	17091
503	16455
504	15989
505	13986
506	13501
507	13490
508	14043
509	13920.5
510	13386
511	13637
512	13311
513	13322
514	13230
515	13319
516	13408
517	13067
518	13345
519	13176.5
520	12824
521	12792
522	12719
523	12441
524	12583
525	12844
526	12987
527	12614
528	12768
529	12426
530	12258
531	12197.5
532	12288
533	15278.99
534	45475.98
535	68181.98
536	69897.48
537	66026.99
538	28190.99
539	13532.5
540	12378
541	14627.5
542	21146
543	22548.98
544	22495.48
545	18424
546	12487
