Sample	Spectrum	Background	Delta										Helium			Argon	
0	1411.501	182	1229.501										396.473	20		392.572	35
1	1561.995	182	1379.995										400.927	1		392.862	50
2	1226.51	182	1044.51										402.619	50		393.255	25
3	1405.495	182	1223.495										402.636	5		394.61	70
4	1258.005	182	1076.005										412.082	12		394.751	7
5	1379.496	182	1197.496										412.099	2		394.898	35
6	1522.496	182	1340.496										414.376	3		397.936	20
7	1404.004	182	1222.004										438.793	10		399.479	35
8	1365.001	182	1183.001										443.755	3		401.386	50
9	1355	182	1173										447.148	200		403.381	50
10	1352	182	1170										447.168	25		403.546	20
11	1274.002	182	1092.002										468.54	6		404.289	150
12	1224.001	182	1042.001										468.57	30		404.442	50
13	1267.498	182	1085.498										471.315	30		405.292	100
14	1326.998	182	1144.998										471.338	4		407.201	200
15	1272.001	182	1090.001										492.193	20		407.239	70
16	1251.501	182	1069.501										501.568	100		407.663	25
17	1241	182	1059										504.774	10		407.957	35
18	1217.5	182	1035.5										541.152	5		408.239	25
19	1396.994	182	1214.994										587.562	500		410.391	150
20	1299.503	182	1117.503										587.597	100		413.172	300
21	1305	182	1123										656.01	8		415.609	35
22	1271.001	182	1089.001										667.815	100		415.859	400
23	1191.003	182	1009.003										686.748	3		416.418	50
24	1383.494	182	1201.494										706.519	200		417.93	35
25	1253.504	182	1071.504										706.571	30		418.188	50
26	1276.5	182	1094.5													419.071	100
27	1284	182	1102													419.103	50
28	1339.498	182	1157.498													419.832	200
29	1453.997	182	1271.997													420.067	400
30	1181.509	182	999.509													421.867	25
31	1034.005	182	852.005													422.264	25
32	1235.994	182	1053.994													422.699	25
33	1197.501	182	1015.501													422.816	100
34	1250.998	182	1068.998													423.722	100
35	1166.502	182	984.502													425.119	25
36	1380.493	182	1198.493													425.936	200
37	1238.004	182	1056.004													426.629	100
38	1074.005	182	892.005													426.653	70
39	1232.995	182	1050.995													427.217	150
40	1309.998	182	1127.998													427.753	550
41	1234.002	182	1052.002													428.29	20
42	1164.502	182	982.502													430.01	100
43	1139.501	182	957.501													430.065	25
44	1175.499	182	993.499													430.924	70
45	1160.001	182	978.001													433.12	200
46	1347.994	182	1165.994													433.203	50
47	1150.006	182	968.006													433.356	100
48	1181.499	182	999.499													433.534	50
49	1207.999	182	1025.999													434.517	25
50	1237.499	182	1055.499													434.806	800
51	1126.503	182	944.503													435.221	50
52	1099.001	182	917.001													436.207	25
53	1082	182	900													436.783	50
54	1393.491	182	1211.491													437.075	200
55	1062.51	182	880.51													437.133	70
56	1214.495	182	1032.495													437.595	50
57	1141.002	182	959.002													437.967	150
58	1157.999	182	975.999													438.506	50
59	1259.996	182	1077.996													440.01	70
60	1226.501	182	1044.501													440.099	200
61	1132.503	182	950.503													442.6	400
62	1143	182	961													443.019	150
63	1210.498	182	1028.498													443.1	50
64	1237.499	182	1055.499													443.384	50
65	1233	182	1051													443.946	20
66	1386.495	182	1204.495													444.888	35
67	1162.007	182	980.007													447.476	100
68	1198.999	182	1016.999													448.181	200
69	1213.5	182	1031.5													451.073	100
70	1079.004	182	897.004													452.232	20
71	1285.994	182	1103.994													453.055	20
72	1201.003	182	1019.003													454.505	400
73	1166.501	182	984.501													456.441	20
74	1064.003	182	882.003													457.935	400
75	1134.498	182	952.498													458.99	400
