Sample        Spectrum      Background    Delta
 0             455.0013      182           272 
 1             473.9994      182           291 
 2             483.4997      182           300 
 3             478.0002      182           295 
 4             483.4998      182           300 
 5             500.9995      182           318 
 6             460.0013      182           277 
 7             510.9984      182           328 
 8             408.5031      182           225 
 9             412.9999      182           230 
 10            524.4966      182           341 
 11            438.0026      182           255 
 12            370.0021      182           187 
 13            383.4996      182           200 
 14            391.9997      182           209 
 15            462.4978      182           279 
 16            385.0023      182           202 
 17            438.9984      182           256 
 18            389.5015      182           206 
 19            478.9973      182           296 
 20            448.5009      182           265 
 21            462.9996      182           280 
 22            469.9998      182           287 
 23            411.0018      182           228 
 24            465.9983      182           283 
 25            412.5016      182           229 
 26            434.9993      182           252 
 27            427.0002      182           244 
 28            404.5007      182           221 
 29            524.4963      182           341 
 30            330.5059      182           147 
 31            425.9971      182           243 
 32            405.5006      182           222 
 33            402.0001      182           219 
 34            419.9995      182           237 
 35            345.0023      182           162 
 36            443.997       182           261 
 37            430.0004      182           247 
 38            364.002       182           181 
 39            453.4973      182           270 
 40            379.5023      182           196 
 41            452.9978      182           270 
 42            368.0026      182           185 
 43            368           182           185 
 44            380.9996      182           198 
 45            383.9999      182           201 
 46            412.4991      182           229 
 47            416.9999      182           234 
 48            388.0009      182           205 
 49            425.4989      182           242 
 50            436.4997      182           253 
 51            329.5033      182           146 
 52            331           182           148 
 53            443.9966      182           261 
 54            452.9997      182           270 
 55            304.0045      182           121 
 56            408.9968      182           226 
 57            328.5024      182           145 
 58            389.4981      182           206 
 59            353.0011      182           170 
 60            394.4987      182           211 
 61            438.9987      182           256 
 62            402.0011      182           219 
 63            385.5005      182           202 
 64            445.9981      182           263 
 65            451.9998      182           269 
 66            448.0001      182           265 
 67            398.5015      182           215 
 68            420.9993      182           238 
 69            385.5011      182           202 
 70            377.5002      182           194 
 71            501.4962      182           318 
 72            365.0042      182           182 
 73            358.5002      182           175 
 74            365.4998      182           182 
 75            351.0004      182           168 
 76            475.4962      182           292 
 77            383.0028      182           200 
 78            434.9984      182           252 
 79            474.9988      182           292 
 80            441.501       182           258 
 81            534.9972      182           352 
 82            474.5018      182           291 
 83            469.5002      182           286 
 84            449.0006      182           266 
 85            381.0021      182           198 
 86            411.999       182           229 
 87            358.0016      182           175 
 88            408.9984      182           226 
 89            401.0002      182           218 
 90            379.0007      182           196 
 91            364.0005      182           181 
 92            340.0007      182           157 
 93            391.4984      182           208 
 94            424.499       182           241 
 95            373.0016      182           190 
 96            415.9987      182           233 
 97            328.0027      182           145 
 98            444.9964      182           262 
 99            445           182           262 
 100           473.9991      182           291 
 101           365.5033      182           182 
 102           368.4999      182           185 
 103           352.5005      182           169 
 104           588.9928      182           406 
 105           351.0073      182           168 
 106           517.9949      182           335 
 107           485.501       182           302 
 108           389.5029      182           206 
 109           401.9996      182           219 
 110           388.0004      182           205 
 111           422.9989      182           240 
 112           469.9986      182           287 
 113           477.9998      182           295 
 114           382.0029      182           199 
 115           341.0013      182           158 
 116           449.4967      182           266 
 117           365.0026      182           182 
 118           392.4991      182           209 
 119           542.4954      182           359 
 120           546.9999      182           364 
 121           569.9993      182           387 
 122           552.0006      182           369 
 123           425.0039      182           242 
 124           476.9984      182           294 
 125           491.4996      182           308 
 126           534.9987      182           352 
 127           638.4969      182           455 
 128           658.4994      182           475 
 129           577.5024      182           394 
 130           643.9979      182           461 
 131           601.0013      182           418 
 132           564.0011      182           381 
 133           547.0005      182           364 
 134           493.0016      182           310 
 135           506.9996      182           324 
 136           536.9991      182           354 
 137           894.489       182           711 
 138           1017.996      182           835 
 139           1018          182           835 
 140           929.5027      182           746 
 141           2135.463      182           1952 
 142           24423.82      182           24241 
 143           58417.97      182           58235 
 144           61996.89      182           61814 
 145           60127.55      182           59944 
 146           32564.84      182           32382 
 147           3207.396      182           3024 
 148           1419.054      182           1236 
 149           2311.973      182           2129 
 150           2648.49       182           2465 
 151           2482.505      182           2299 
 152           2027.014      182           1844 
 153           1912.504      182           1729 
 154           3955.438      182           3772 
 155           4389.487      182           4206 
 156           4264.004      182           4081 
 157           3059.537      182           2876 
 158           1123.059      182           940 
 159           816.0095      182           633 
 160           857.4988      182           674 
 161           1013.995      182           831 
 162           1265.492      182           1082 
 163           1442.495      182           1259 
 164           1489.498      182           1306 
 165           1588.497      182           1405 
 166           1410.005      182           1227 
 167           1432.999      182           1250 
 168           1523.997      182           1341 
 169           1411.504      182           1228 
 170           1460.499      182           1277 
 171           1163.509      182           980 
 172           841.0098      182           658 
 173           1029.494      182           846 
 174           1138.497      182           955 
 175           1253.996      182           1071 
 176           1247          182           1064 
 177           1004.507      182           821 
 178           1056.498      182           873 
 179           1131.998      182           949 
 180           1020.503      182           837 
 181           1079.498      182           896 
 182           1569.985      182           1387 
 183           2406.474      182           2223 
 184           2479.998      182           2297 
 185           2678.993      182           2496 
 186           2213.014      182           2030 
 187           1782.513      182           1599 
 188           6910.843      182           6728 
 189           38384.04      182           38201 
 190           50302.14      182           50119 
 191           50754.98      182           50572 
 192           43875.21      182           43692 
 193           10955.5       182           10772 
 194           2113.27       182           1930 
 195           1255.526      182           1072 
 196           1308.498      182           1125 
 197           1202.003      182           1019 
 198           1244.999      182           1062 
 199           1220.001      182           1037 
 200           1257.999      182           1075 
 201           1240          182           1057 
 202           1304.998      182           1122 
 203           1590.991      182           1408 
 204           1693.997      182           1511 
 205           1676          182           1493 
 206           1707.499      182           1524 
 207           2811.467      182           2628 
 208           6756.38       182           6573 
 209           7817.968      182           7635 
 210           7724.002      182           7541 
 211           5986.052      182           5803 
 212           1759.129      182           1576 
 213           1255.016      182           1072 
 214           1172.003      182           989 
 215           1180.5        182           997 
 216           1127.002      182           944 
 217           1148          182           965 
 218           1156.5        182           973 
 219           1227.998      182           1045 
 220           1175.001      182           992 
 221           1254.498      182           1071 
 222           1347.997      182           1165 
 223           3613.931      182           3431 
 224           13396.7       182           13214 
