Sample        Spectrum      Background    Delta
 0            -169.4988     -8            -162 
 1            -211.9987     -8            -205 
 2            -229.9995     -8            -223 
 3            -241.9996     -8            -235 
 4            -59.50557     -8            -52 
 5            -228.4948     -8            -221 
 6            -152.0023     -8            -145 
 7            -131.5006     -8            -124 
 8            -161.4991     -8            -154 
 9            -144.5005     -8            -137 
 10           -181.4989     -8            -174 
 11           -73.00331     -8            -66 
 12           -183.9966     -8            -177 
 13           -128.5017     -8            -121 
 14           -105.5007     -8            -98 
 15           -244.9957     -8            -238 
 16           -132.0034     -8            -125 
 17           -123.5003     -8            -116 
 18           -83.00124     -8            -76 
 19           -115.999      -8            -109 
 20           -182.998      -8            -176 
 21           -194.4996     -8            -187 
 22           -214.4994     -8            -207 
 23           -141.0022     -8            -134 
 24           -193.9984     -8            -187 
 25           -143.5015     -8            -136 
 26           -122.0007     -8            -115 
 27           -194.9978     -8            -188 
 28           -196.5        -8            -189 
 29           -166.0009     -8            -159 
 30           -153.5004     -8            -146 
 31           -166.4996     -8            -159 
 32           -125.5013     -8            -118 
 33           -226.9969     -8            -220 
 34           -93.00409     -8            -86 
 35           -155.9981     -8            -149 
 36           -139.0005     -8            -132 
 37           -82.50172     -8            -75 
 38           -240.9952     -8            -234 
 39           -167.0023     -8            -160 
 40           -62.0032      -8            -55 
 41           -153.9972     -8            -147 
 42           -56.50298     -8            -49 
 43           -191.9959     -8            -185 
 44           -123.0021     -8            -116 
 45           -82.00125     -8            -75 
 46           -108.4992     -8            -101 
 47           -165.4983     -8            -158 
 48           -144.5006     -8            -137 
 49           -161.4995     -8            -154 
 50           -79.00252     -8            -72 
 51           -149.9978     -8            -143 
 52           -100.0015     -8            -93 
 53           -88.00037     -8            -81 
 54           -88.49998     -8            -81 
 55           -11.00237     -8            -4 
 56           -92.49751     -8            -85 
 57           -220.4961     -8            -213 
 58           -171.5015     -8            -164 
 59           -133.5012     -8            -126 
 60           -111.0007     -8            -104 
 61           -169.4982     -8            -162 
 62           -117.0016     -8            -110 
 63           -156.4988     -8            -149 
 64           -154.0001     -8            -147 
 65           -53.00308     -8            -46 
 66           -132.9976     -8            -126 
 67           -183.9984     -8            -177 
 68           -162.0007     -8            -155 
 69           -133.5009     -8            -126 
 70           -156.4993     -8            -149 
 71           -171.9995     -8            -165 
 72           -171          -8            -164 
 73           -49.50371     -8            -42 
