Sample        Spectrum      Background    Delta
 0            -251.5003     -8            -244 
 1            -266.9995     -8            -260 
 2            -198.5021     -8            -191 
 3            -232.499      -8            -225 
 4            -280.9985     -8            -274 
 5            -269.0004     -8            -262 
 6            -208.5018     -8            -201 
 7            -244.4989     -8            -237 
 8            -296.9984     -8            -290 
 9            -255.5013     -8            -248 
 10           -213.0013     -8            -206 
 11           -173.5012     -8            -166 
 12           -188.4995     -8            -181 
 13           -217.9991     -8            -211 
 14           -221.4999     -8            -214 
 15           -296.9977     -8            -290 
 16           -195.5031     -8            -188 
 17           -225.9991     -8            -219 
 18           -245.9994     -8            -239 
 19           -346.4969     -8            -339 
 20           -298.0015     -8            -291 
 21           -200.503      -8            -193 
 22           -273.9977     -8            -267 
 23           -284.9997     -8            -278 
 24           -209.0023     -8            -202 
 25           -260.4984     -8            -253 
 26           -254.0002     -8            -247 
 27           -148.5032     -8            -141 
 28           -156.4998     -8            -149 
 29           -196.4988     -8            -189 
 30           -258.9981     -8            -252 
 31           -256.5001     -8            -249 
 32           -256          -8            -249 
 33           -214.5013     -8            -207 
 34           -248.499      -8            -241 
 35           -245.5001     -8            -238 
 36           -238.0002     -8            -231 
 37           -197.0013     -8            -190 
 38           -180.0005     -8            -173 
 39           -213.499      -8            -206 
 40           -214          -8            -207 
 41           -259.4986     -8            -252 
 42           -248.0004     -8            -241 
 43           -224.0007     -8            -217 
 44           -195.5009     -8            -188 
 45           -233.9988     -8            -227 
 46           -228.0002     -8            -221 
 47           -176.5016     -8            -169 
 48           -234.4982     -8            -227 
 49           -207.0008     -8            -200 
 50           -160.5014     -8            -153 
 51           -247.9973     -8            -241 
 52           -147.5031     -8            -140 
 53           -214.498      -8            -207 
 54           -180.0011     -8            -173 
 55           -205.9992     -8            -199 
 56           -269.498      -8            -262 
 57           -238.001      -8            -231 
 58           -261.4993     -8            -254 
 59           -222.5012     -8            -215 
 60           -243.9993     -8            -237 
 61           -219.0008     -8            -212 
 62           -180.0012     -8            -173 
 63           -254.9977     -8            -248 
 64           -204.0016     -8            -197 
 65           -201.0001     -8            -194 
 66           -180.5006     -8            -173 
 67           -207.4992     -8            -200 
 68           -251.4987     -8            -244 
 69           -165.5026     -8            -158 
 70           -222.4983     -8            -215 
 71           -247.9992     -8            -241 
 72           -173.0023     -8            -166 
 73           -167.0002     -8            -160 
 74           -241.4977     -8            -234 
 75           -216.5008     -8            -209 
 76           -146.0022     -8            -139 
 77           -215.9979     -8            -209 
 78           -225.4997     -8            -218 
 79           -227.9999     -8            -221 
 80           -173.5017     -8            -166 
 81           -159.0004     -8            -152 
 82           -286.4962     -8            -279 
 83           -156.504      -8            -149 
 84           -144.0004     -8            -137 
 85           -226.9975     -8            -220 
 86           -248.4993     -8            -241 
 87           -229.5006     -8            -222 
 88           -138.5028     -8            -131 
 89           -282.4956     -8            -275 
 90           -200.0025     -8            -193 
 91           -286.4973     -8            -279 
 92           -173.0035     -8            -166 
 93           -235.9981     -8            -229 
 94           -255.9994     -8            -249 
 95           -219.0011     -8            -212 
 96           -217.0001     -8            -210 
 97           -179.5011     -8            -172 
 98           -214.9989     -8            -208 
 99           -166.5015     -8            -159 
 100          -202.9989     -8            -196 
 101          -227.4993     -8            -220 
 102          -145.0025     -8            -138 
 103          -181.4989     -8            -174 
 104          -267.9974     -8            -261 
 105          -259.0003     -8            -252 
 106          -207.0016     -8            -200 
 107          -186.0006     -8            -179 
 108          -131.0017     -8            -124 
 109          -165.9989     -8            -159 
 110          -217.4984     -8            -210 
 111          -202.0005     -8            -195 
 112          -192.5003     -8            -185 
 113          -292.4969     -8            -285 
 114          -150.5043     -8            -143 
 115          -208.9982     -8            -202 
 116          -189.5006     -8            -182 
 117          -187.5001     -8            -180 
 118          -166.5006     -8            -159 
 119          -262.9971     -8            -256 
 120          -187.5023     -8            -180 
 121          -151.0011     -8            -144 
 122          -188.4989     -8            -181 
 123          -105.5025     -8            -98 
 124          -114.4997     -8            -107 
 125          -263.4955     -8            -256 
 126          -192.0022     -8            -185 
 127          -177.0005     -8            -170 
 128          -191.9995     -8            -185 
 129          -125.002      -8            -118 
 130          -172.9985     -8            -166 
 131          -190.4995     -8            -183 
 132          -190          -8            -183 
 133          -168.5007     -8            -161 
 134          -159.5003     -8            -152 
 135          -175.9995     -8            -169 
 136          -127.0015     -8            -120 
 137          -157.9991     -8            -151 
 138          -123.0011     -8            -116 
 139          -106.0005     -8            -99 
 140          -47.50179     -8            -40 
 141          -54.49979     -8            -47 
 142          -74.99937     -8            -68 
 143          -158.4975     -8            -151 
 144          -219.9981     -8            -213 
 145          -138.5025     -8            -131 
 146          -124.0004     -8            -117 
 147          -231.4967     -8            -224 
 148          -141.0028     -8            -134 
 149          -88.00162     -8            -81 
 150          -215.4961     -8            -208 
 151          -125.0028     -8            -118 
 152          -143.4994     -8            -136 
 153          -125.5005     -8            -118 
 154          -95.00093     -8            -88 
 155          -174.9976     -8            -168 
 156          -136.5012     -8            -129 
 157          -5.503998     -8             2 
 158          -138.4959     -8            -131 
 159          -61.50235     -8            -54 
 160          -98.99886     -8            -92 
 161          -42.50172     -8            -35 
 162          -111.9979     -8            -105 
 163          -111.5        -8            -104 
 164          -13.50299     -8            -6 
 165          -46.49899     -8            -39 
 166          -137.4972     -8            -130 
 167          -134.0001     -8            -127 
 168          -203.9979     -8            -197 
 169          -126.0024     -8            -119 
 170          -37.00272     -8            -30 
 171          -144.9967     -8            -138 
 172          -82.00192     -8            -75 
 173          -119.9988     -8            -113 
 174          -91.50087     -8            -84 
 175          -53.00117     -8            -46 
 176          -46.5002      -8            -39 
 177          -126.9975     -8            -120 
 178          -89.00116     -8            -82 
 179          -128.4988     -8            -121 
 180          -68.50183     -8            -61 
 181           36.4968      -8             44 
 182          -69.49677     -8            -62 
 183          -84.49954     -8            -77 
 184          -42.0013      -8            -35 
 185          -53.99963     -8            -47 
 186          -87.99896     -8            -81 
 187          -11.00235     -8            -4 
 188          -37.99918     -8            -31 
 189          -54.99948     -8            -48 
 190          -109.4983     -8            -102 
 191          -92.50052     -8            -85 
 192          -102.4997     -8            -95 
 193          -29.00224     -8            -22 
 194          -25.00012     -8            -18 
 195          -105.9975     -8            -99 
 196          -44.00189     -8            -37 
 197           51.99707     -8             59 
 198          -137.9942     -8            -131 
 199          -20.0036      -8            -13 
 200          -83.99805     -8            -77 
 201          -102.9994     -8            -96 
 202          -17.50261     -8            -10 
 203          -125.4967     -8            -118 
 204          -21.50317     -8            -14 
 205          -23.49994     -8            -16 
 206          -79.49829     -8            -72 
 207          -45.00105     -8            -38 
 208           24.49788     -8             32 
 209          -54.49759     -8            -47 
 210          -130.4977     -8            -123 
 211          -65.002       -8            -58 
 212          -153.4973     -8            -146 
 213          -101.0016     -8            -94 
 214          -83.50053     -8            -76 
 215          -83.5         -8            -76 
 216          -84.49997     -8            -77 
 217          -82.00008     -8            -75 
 218          -30.50157     -8            -23 
 219          -17.5004      -8            -10 
 220          -120.4969     -8            -113 
 221          -82.50116     -8            -75 
 222          -102.9994     -8            -96 
 223          -72.50093     -8            -65 
 224          -20.50159     -8            -13 
 225          -89.99788     -8            -83 
 226          -69.50063     -8            -62 
 227          -70.99995     -8            -64 
 228          -34           -8            -27 
 229          -35.5         -8            -28 
 230          -74           -8            -67 
 231          -45.5         -8            -38 
 232          -56           -8            -49 
 233          -120.4961     -8            -113 
 234          -84.5022      -8            -77 
 235          -38.00284     -8            -31 
 236          -115.9952     -8            -109 
 237          -103.5008     -8            -96 
 238          -62.5025      -8            -55 
 239          -46.50098     -8            -39 
 240          -97.49689     -8            -90 
 241          -105.9995     -8            -99 
 242          -6.469727E-03               -8             7 
 243          -53.9967      -8            -47 
 244          -81.99829     -8            -75 
 245          -5.004883E-03               -8             7 
 246          -145.4911     -8            -138 
 247          -79.50403     -8            -72 
 248           13.99429     -8             21 
 249          -53.99585     -8            -47 
 250          -59.99963     -8            -53 
 251          -127.9958     -8            -121 
 252          -97.00189     -8            -90 
 253          -65.00195     -8            -58 
 254          -119.9966     -8            -113 
 255          -85.00214     -8            -78 
 256          -120.4978     -8            -113 
 257          -83.00229     -8            -76 
 258          -43.00244     -8            -36 
 259          -5.002319     -8             2 
 260          -54.49698     -8            -47 
 261           36.49445     -8             44 
 262          -80.49286     -8            -73 
 263          -65.00095     -8            -58 
 264          -74.49942     -8            -67 
 265          -81.49957     -8            -74 
 266          -24.00351     -8            -17 
 267          -30.99957     -8            -24 
 268          -31           -8            -24 
 269          -58.49832     -8            -51 
 270          -4.503296     -8             3 
 271          -60.99655     -8            -54 
 272          -57.50021     -8            -50 
 273          -23.50208     -8            -16 
 274          -11.50073     -8            -4 
 275          -27.49902     -8            -20 
 276           21.49701     -8             29 
 277           11.50061     -8             19 
 278           29.4989      -8             37 
 279          -73.49371     -8            -66 
 280          -47.00162     -8            -40 
 281          -103.4966     -8            -96 
 282          -121.4989     -8            -114 
 283          -43.00479     -8            -36 
 284          -175.9919     -8            -169 
 285          -8.010254     -8            -1 
 286          -24.49899     -8            -17 
 287          -52.49829     -8            -45 
 288          -91.49762     -8            -84 
 289          -95.49976     -8            -88 
 290          -69.50159     -8            -62 
 291          -102.998      -8            -96 
 292          -33.00427     -8            -26 
 293          -87.99664     -8            -81 
 294          -103.4991     -8            -96 
 295          -9.505737     -8            -2 
 296          -37.49829     -8            -30 
 297          -70.49799     -8            -63 
 298          -82.99924     -8            -76 
 299          -47.50217     -8            -40 
 300          -51.49976     -8            -44 
 301          -35.00101     -8            -28 
 302          -53.49887     -8            -46 
 303          -82.9982      -8            -76 
 304          -95.99921     -8            -89 
 305          -83.50076     -8            -76 
 306          -43.50244     -8            -36 
 307          -132.9945     -8            -126 
 308          -45.50534     -8            -38 
 309          -27.00113     -8            -20 
 310          -24.50015     -8            -17 
 311          -106.495      -8            -99 
 312          -80.50159     -8            -73 
 313          -53.00168     -8            -46 
 314          -102.9969     -8            -96 
 315           2.493561     -8             10 
 316          -50.49677     -8            -43 
 317          -92.49744     -8            -85 
 318          -50.50256     -8            -43 
 319          -105.4966     -8            -98 
 320           12.99277     -8             20 
 321          -86.49393     -8            -79 
 322          -151.996      -8            -145 
 323          -116.0022     -8            -109 
 324          -37.00482     -8            -30 
 325          -129.9943     -8            -123 
 326          -16.50693     -8            -9 
 327          -70.99667     -8            -64 
 328          -71.49997     -8            -64 
 329          -60.0007      -8            -53 
 330          -87.49832     -8            -80 
 331          -94.49957     -8            -87 
 332          -39.50336     -8            -32 
 333          -62.99857     -8            -56 
 334          -71.99945     -8            -65 
 335          -32.00244     -8            -25 
 336          -110.4952     -8            -103 
 337          -75.00217     -8            -68 
 338          -32.00262     -8            -25 
 339          -47.49905     -8            -40 
 340          -97.49695     -8            -90 
 341          -95.50012     -8            -88 
 342          -137.4974     -8            -130 
 343          -144.4996     -8            -137 
 344          -35.50665     -8            -28 
 345          -72.99771     -8            -66 
 346          -66.5004      -8            -59 
 347          -80.49915     -8            -73 
 348          -90.49939     -8            -83 
 349          -94.49976     -8            -87 
 350          -172.9952     -8            -166 
 351          -100.5044     -8            -93 
 352          -43.50348     -8            -36 
 353          -65.49866     -8            -58 
 354          -194.4921     -8            -187 
 355          -104.0055     -8            -97 
 356          -84.50119     -8            -77 
 357          -97.99918     -8            -91 
 358          -168.9957     -8            -162 
 359          -99.00427     -8            -92 
 360          -120.9987     -8            -114 
 361          -68.00323     -8            -61 
 362          -70.49985     -8            -63 
 363          -145.4954     -8            -138 
 364          -9.508301     -8            -2 
 365          -173.49       -8            -166 
 366          -101.5044     -8            -94 
 367          -35.50403     -8            -28 
 368          -60.99844     -8            -54 
 369           7.495819     -8             15 
 370          -40.99704     -8            -34 
 371          -30.00067     -8            -23 
 372          -106.4953     -8            -99 
 373          -4.006256     -8             3 
 374          -63.49637     -8            -56 
 375          -48.00095     -8            -41 
 376          -111.9961     -8            -105 
 377          -142.4981     -8            -135 
 378          -61.50494     -8            -54 
 379          -37.50146     -8            -30 
 380          -131.4943     -8            -124 
 381          -121.0006     -8            -114 
 382          -57.50388     -8            -50 
 383          -78.99869     -8            -72 
 384          -31.00293     -8            -24 
 385          -109.9952     -8            -103 
 386          -78.00195     -8            -71 
 387          -95.9989      -8            -89 
 388          -55.0025      -8            -48 
 389          -127.4956     -8            -120 
 390          -178.9969     -8            -172 
 391          -135.0027     -8            -128 
 392          -87.00293     -8            -80 
 393          -74.50076     -8            -67 
 394          -111.4977     -8            -104 
 395          -73.00235     -8            -66 
 396          -110.9977     -8            -104 
 397          -74.00226     -8            -67 
 398          -123.497      -8            -116 
 399          -56.50409     -8            -49 
 400          -111.4966     -8            -104 
 401          -61.50305     -8            -54 
 402          -77.99899     -8            -71 
 403          -23.50333     -8            -16 
 404          -22.00009     -8            -15 
 405           9.498077     -8             17 
 406          -82.49438     -8            -75 
 407          -36.50281     -8            -29 
 408          -70.99789     -8            -64 
 409          -48.50137     -8            -41 
 410          -91.99734     -8            -85 
 411          -82.00061     -8            -75 
 412          -90.49948     -8            -83 
 413          -57.50201     -8            -50 
 414          -99.49744     -8            -92 
 415          -125.9984     -8            -119 
 416          -103.5014     -8            -96 
 417          -133.9981     -8            -127 
 418          -82.50314     -8            -75 
 419          -214.4919     -8            -207 
 420          -124.0055     -8            -117 
 421          -175.4969     -8            -168 
 422          -97.50476     -8            -90 
 423          -122.4985     -8            -115 
 424          -125.9998     -8            -119 
 425          -91.50211     -8            -84 
 426          -143.9968     -8            -137 
 427          -103.5025     -8            -96 
 428          -130.9983     -8            -124 
 429          -148.9989     -8            -142 
 430          -34.00702     -8            -27 
 431          -204.4896     -8            -197 
 432          -140.0039     -8            -133 
 433          -94.50278     -8            -87 
 434          -135.4975     -8            -128 
 435          -114.0013     -8            -107 
 436          -83.00189     -8            -76 
 437          -74.50052     -8            -67 
 438          -112.9977     -8            -106 
 439          -114.4999     -8            -107 
 440          -25.50543     -8            -18 
 441          -54.9982      -8            -48 
 442          -99.49728     -8            -92 
