Sample        Spectrum      Background    Delta
 0            -169.4988     -4            -166 
 1            -211.9987     -4            -209 
 2            -229.9995     -4            -227 
 3            -241.9996     -4            -239 
 4            -59.50557     -4            -56 
 5            -228.4948     -4            -225 
 6            -152.0023     -4            -149 
 7            -131.5006     -4            -128 
 8            -161.4991     -4            -158 
 9            -144.5005     -4            -141 
 10           -181.4989     -4            -178 
 11           -73.00331     -4            -70 
 12           -183.9966     -4            -181 
 13           -128.5017     -4            -125 
 14           -105.5007     -4            -102 
 15           -244.9957     -4            -242 
 16           -132.0034     -4            -129 
 17           -123.5003     -4            -120 
 18           -83.00124     -4            -80 
 19           -115.999      -4            -113 
 20           -182.998      -4            -180 
 21           -194.4996     -4            -191 
 22           -214.4994     -4            -211 
 23           -141.0022     -4            -138 
 24           -193.9984     -4            -191 
 25           -143.5015     -4            -140 
 26           -122.0007     -4            -119 
 27           -194.9978     -4            -192 
 28           -196.5        -4            -193 
 29           -166.0009     -4            -163 
 30           -153.5004     -4            -150 
 31           -166.4996     -4            -163 
 32           -125.5013     -4            -122 
 33           -226.9969     -4            -224 
 34           -93.00409     -4            -90 
 35           -155.9981     -4            -153 
 36           -139.0005     -4            -136 
 37           -82.50172     -4            -79 
 38           -240.9952     -4            -238 
 39           -167.0023     -4            -164 
 40           -62.0032      -4            -59 
 41           -153.9972     -4            -151 
 42           -56.50298     -4            -53 
 43           -191.9959     -4            -189 
 44           -123.0021     -4            -120 
 45           -82.00125     -4            -79 
 46           -108.4992     -4            -105 
 47           -165.4983     -4            -162 
 48           -144.5006     -4            -141 
 49           -161.4995     -4            -158 
 50           -79.00252     -4            -76 
 51           -149.9978     -4            -147 
 52           -100.0015     -4            -97 
 53           -88.00037     -4            -85 
 54           -88.49998     -4            -85 
 55           -11.00237     -4            -8 
 56           -92.49751     -4            -89 
 57           -220.4961     -4            -217 
 58           -171.5015     -4            -168 
 59           -133.5012     -4            -130 
 60           -111.0007     -4            -108 
 61           -169.4982     -4            -166 
 62           -117.0016     -4            -114 
 63           -156.4988     -4            -153 
 64           -154.0001     -4            -151 
 65           -53.00308     -4            -50 
 66           -132.9976     -4            -130 
 67           -183.9984     -4            -181 
 68           -162.0007     -4            -159 
 69           -133.5009     -4            -130 
 70           -156.4993     -4            -153 
 71           -171.9995     -4            -169 
 72           -171          -4            -168 
 73           -49.50371     -4            -46 
 74           -65.49951     -4            -62 
 75           -193.9961     -4            -191 
 76           -125.5021     -4            -122 
 77           -63.50189     -4            -60 
 78           -98.99892     -4            -96 
 79           -165.498      -4            -162 
 80           -128.0011     -4            -125 
 81           -147.4994     -4            -144 
 82           -79.50208     -4            -76 
 83           -67.50037     -4            -64 
 84           -61.0002      -4            -58 
 85           -140.4976     -4            -137 
 86           -104.0011     -4            -101 
 87           -32.0022      -4            -29 
 88            17.49849     -4             21 
 89            67.99846     -4             71 
 90            79.49965     -4             83 
 91            208.996      -4             212 
 92            309.9969     -4             313 
 93            533.4932     -4             537 
 94            588.9982     -4             592 
 95            636.4985     -4             640 
 96            903.9918     -4             907 
 97            1073.995     -4             1077 
 98            1254.994     -4             1258 
 99            1286.499     -4             1290 
 100           1568.491     -4             1572 
 101           1677.997     -4             1681 
 102           1959.991     -4             1963 
 103           2300.99      -4             2304 
 104           2516.993     -4             2520 
 105           2790.991     -4             2794 
 106           2986.994     -4             2990 
 107           3164.495     -4             3168 
 108           3668.484     -4             3672 
 109           3733.498     -4             3737 
 110           3999.492     -4             4003 
 111           4466.485     -4             4470 
 112           4912.486     -4             4916 
 113           5367.986     -4             5371 
 114           5806.986     -4             5810 
 115           6454.48      -4             6458 
 116           6921.487     -4             6925 
 117           7023.996     -4             7027 
 118           7062.999     -4             7066 
 119           7424.489     -4             7428 
 120           7755.99      -4             7759 
 121           8546.977     -4             8550 
 122           9215.98      -4             9219 
 123           9985.976     -4             9989 
 124           11296.46     -4             11300 
 125           12338.97     -4             12342 
 126           13548.96     -4             13552 
 127           14688.46     -4             14692 
 128           15329.48     -4             15333 
 129           16146.48     -4             16150 
 130           16644.98     -4             16648 
 131           16849.49     -4             16853 
 132           17543.98     -4             17547 
 133           18615.97     -4             18619 
 134           20589.94     -4             20593 
 135           22282.45     -4             22286 
 136           23810.95     -4             23814 
 137           24264.99     -4             24268 
 138           23867.51     -4             23871 
 139           23787.5      -4             23791 
 140           23947        -4             23950 
 141           25186.96     -4             25190 
 142           26568.96     -4             26572 
 143           28174.95     -4             28178 
 144           29934.95     -4             29938 
 145           31207.46     -4             31211 
 146           30905.01     -4             30908 
 147           30070.02     -4             30073 
 148           30191        -4             30194 
 149           29976.51     -4             29980 
 150           31118.96     -4             31122 
 151           34963.39     -4             34967 
 152           40116.84     -4             40120 
 153           45408.84     -4             45412 
 154           50903.83     -4             50907 
 155           55322.37     -4             55326 
 156           57707.43     -4             57711 
 157           59219.45     -4             59223 
 158           59526.99     -4             59530 
 159           60794.96     -4             60798 
 160           61327.48     -4             61331 
 161           63145.94     -4             63149 
 162           64697.46     -4             64701 
 163           66635.95     -4             66639 
 164           68197.95     -4             68201 
 165           71026.41     -4             71030 
 166           71996.47     -4             72000 
 167           72627.48     -4             72631 
 168           73105.98     -4             73109 
 169           74379.95     -4             74383 
 170           74262        -4             74265 
 171           74884.98     -4             74888 
 172           75054.99     -4             75058 
 173           75402.48     -4             75406 
 174           75243.51     -4             75247 
 175           74444.52     -4             74448 
 176           72080.06     -4             72083 
 177           71364.02     -4             71367 
 178           71753.48     -4             71757 
 179           72676.48     -4             72680 
 180           75943.91     -4             75947 
 181           79697.88     -4             79701 
 182           81706.93     -4             81710 
 183           83805.45     -4             83809 
 184           84763.48     -4             84767 
 185           86364.46     -4             86368 
 186           88599.93     -4             88603 
 187           91415.91     -4             91419 
 188           92931.95     -4             92935 
 189           94241.96     -4             94245 
 190           96366.94     -4             96370 
 191           97977.95     -4             97981 
 192           100610.4     -4             100614 
 193           102473.4     -4             102477 
 194           103215       -4             103218 
 195           103496       -4             103499 
 196           103857.5     -4             103861 
 197           104700       -4             104703 
 198           105390       -4             105393 
 199           106123       -4             106126 
 200           107099.5     -4             107103 
 201           107857.5     -4             107861 
 202           109007.5     -4             109011 
 203           109232       -4             109235 
 204           109592       -4             109595 
 205           109519.5     -4             109523 
 206           109349.5     -4             109353 
 207           109819.5     -4             109823 
 208           109383.5     -4             109387 
 209           110223       -4             110226 
