Sample        Spectrum      Background    Delta
 0             52            13            38 
 1             60            13            46 
 2             65            13            51 
 3             54            13            40 
 4             46            13            32 
 5             48            13            34 
 6             56            13            42 
 7             60            13            46 
 8             46            13            32 
 9             75            13            61 
 10            60            13            46 
 11            62            13            48 
 12            86            13            72 
 13            64            13            50 
 14            70            13            56 
 15            84            13            70 
 16            76            13            62 
 17            75            13            61 
 18            86            13            72 
 19            111           13            97 
 20            95            13            81 
 21            91            13            77 
 22            82            13            68 
 23            85            13            71 
 24            115           13            101 
 25            119           13            105 
 26            109           13            95 
 27            105           13            91 
 28            94            13            80 
 29            108           13            94 
 30            107           13            93 
 31            97            13            83 
 32            102           13            88 
 33            113           13            99 
 34            124           13            110 
 35            89            13            75 
 36            112           13            98 
 37            170           13            156 
 38            141           13            127 
 39            138           13            124 
 40            158           13            144 
 41            167           13            153 
 42            167           13            153 
 43            164           13            150 
 44            170           13            156 
 45            175           13            161 
 46            169           13            155 
 47            184           13            170 
 48            214           13            200 
 49            236           13            222 
 50            239           13            225 
 51            228           13            214 
 52            229           13            215 
 53            258           13            244 
 54            271           13            257 
 55            254           13            240 
 56            262           13            248 
 57            277           13            263 
 58            277           13            263 
 59            326           13            312 
 60            323           13            309 
 61            290           13            276 
 62            305           13            291 
 63            344           13            330 
 64            363           13            349 
 65            349           13            335 
 66            371           13            357 
 67            371           13            357 
 68            395           13            381 
 69            416           13            402 
 70            453           13            439 
 71            454           13            440 
 72            463           13            449 
 73            498           13            484 
 74            467           13            453 
 75            490           13            476 
 76            492           13            478 
 77            523           13            509 
 78            503           13            489 
 79            525           13            511 
 80            560           13            546 
 81            575           13            561 
 82            605           13            591 
 83            617           13            603 
 84            650           13            636 
 85            648           13            634 
 86            647           13            633 
 87            656           13            642 
 88            674           13            660 
 89            662           13            648 
 90            707           13            693 
 91            735           13            721 
 92            733           13            719 
 93            748           13            734 
 94            768           13            754 
 95            774           13            760 
 96            782           13            768 
 97            805           13            791 
 98            835           13            821 
 99            805           13            791 
 100           834           13            820 
 101           824           13            810 
 102           822           13            808 
 103           838           13            824 
 104           838           13            824 
 105           863           13            849 
 106           855           13            841 
 107           863           13            849 
 108           894           13            880 
 109           944           13            930 
 110           918           13            904 
 111           868           13            854 
 112           895           13            881 
 113           935           13            921 
 114           926           13            912 
 115           963           13            949 
 116           966           13            952 
 117           981           13            967 
 118           993           13            979 
 119           1013          13            999 
 120           971           13            957 
 121           1002          13            988 
 122           1032          13            1018 
 123           1016          13            1002 
 124           1050          13            1036 
 125           1093          13            1079 
 126           1088          13            1074 
 127           1075          13            1061 
 128           1071          13            1057 
 129           1080          13            1066 
 130           1116          13            1102 
 131           1128          13            1114 
 132           1142          13            1128 
 133           1138          13            1124 
 134           1177          13            1163 
 135           1139          13            1125 
 136           1202          13            1188 
 137           1192          13            1178 
 138           1234          13            1220 
 139           1213          13            1199 
 140           1247          13            1233 
 141           1289          13            1275 
 142           1281          13            1267 
 143           1270          13            1256 
 144           1304          13            1290 
 145           1302          13            1288 
 146           1320          13            1306 
 147           1329          13            1315 
 148           1368          13            1354 
 149           1406          13            1392 
 150           1449          13            1435 
 151           1459          13            1445 
 152           1465          13            1451 
 153           1498          13            1484 
 154           1534          13            1520 
 155           1563          13            1549 
 156           1592          13            1578 
 157           1593          13            1579 
 158           1658          13            1644 
 159           1673          13            1659 
 160           1658          13            1644 
 161           1727          13            1713 
 162           1795          13            1781 
 163           1810          13            1796 
 164           1834          13            1820 
 165           1863          13            1849 
 166           1876          13            1862 
 167           1875          13            1861 
 168           1981          13            1967 
 169           2070          13            2056 
 170           2059          13            2045 
 171           2078          13            2064 
 172           2135          13            2121 
 173           2149          13            2135 
 174           2198          13            2184 
 175           2231          13            2217 
 176           2273          13            2259 
 177           2302          13            2288 
 178           2351          13            2337 
 179           2393          13            2379 
 180           2418          13            2404 
